CHANNEL
CHAN_NO  LENGTH  MANNING  DISPERSION  UPNODE  DOWNNODE  
1        19500   0.0350    360.0000    1       2         
2        14000   0.0280    360.0000    2       3         
3        13000   0.0280    360.0000    3       4         
4        14050   0.0280    360.0000    4       5         
5        12350   0.0280    360.0000    5       6         
6        9878    0.0280    360.0000    6       7         
7        8796    0.0280    360.0000    7       8         
8        11625   0.0300    360.0000    8       9         
9        10497   0.0300    360.0000    9       10        
10       9400    0.0300    360.0000    10      11        
11       12748   0.0300    360.0000    11      12        
12       8214    0.0300    360.0000    12      13        
13       7706    0.0300    360.0000    13      14        
14       5339    0.0300    360.0000    14      15        
15       5388    0.0300    360.0000    15      16        
16       5384    0.0220    360.0000    16      18        
17       13150   0.0350    360.0000    17      1         
18       3765    0.0220    360.0000    18      19        
19       3666    0.0220    360.0000    19      20        
20       4107    0.0220    360.0000    20      21        
21       5947    0.0220    360.0000    21      22        
22       6803    0.0220    360.0000    22      23        
23       3425    0.0220    360.0000    23      24        
24       7742    0.0220    360.0000    24      25        
25       3317    0.0220    360.0000    25      26        
26       4000    0.0220    360.0000    26      27        
27       4700    0.0220    360.0000    28      26        
28       5000    0.0220    360.0000    27      29        
29       3800    0.0220    360.0000    29      28        
30       7358    0.0220    360.0000    26      29        
31       6525    0.0220    360.0000    29      30        
32       6098    0.0220    360.0000    30      31        
33       2397    0.0220    360.0000    31      32        
34       5988    0.0220    360.0000    30      32        
35       7239    0.0220    360.0000    31      33        
36       5532    0.0220    360.0000    32      33        
37       5291    0.0220    360.0000    33      34        
38       4791    0.0220    360.0000    34      35        
39       4316    0.0220    360.0000    35      36        
40       5753    0.0220    360.0000    36      37        
41       6359    0.0220    360.0000    35      37        
42       8762    0.0220    360.0000    37      38        
43       2492    0.0220    360.0000    38      39        
44       3619    0.0220    360.0000    39      40        
45       12421   0.0300    360.0000    40      41        
46       11780   0.0300    360.0000    41      42        
47       14248   0.0300    1000.0000   42      43        
48       9015    0.0300    1000.0000   43      44        
49       12948   0.0300    180.0000    469     45        
50       9721    0.0300    180.0000    45      461       
51       11539   0.0300    130.0000    461     46        
52       8783    0.0300    130.0000    46      47        
53       11276   0.0300    130.0000    47      464       
54       3787    0.0250    360.0000    8       48        
55       4762    0.0250    360.0000    48      49        
56       4214    0.0250    360.0000    49      50        
57       4378    0.0250    360.0000    50      51        
58       4975    0.0250    360.0000    51      52        
59       4762    0.0300    360.0000    52      53        
60       5875    0.0300    360.0000    53      54        
61       6003    0.0300    360.0000    54      55        
62       4600    0.0300    360.0000    55      56        
63       3010    0.0300    360.0000    56      57        
65       3161    0.0300    360.0000    169     56        
66       2075    0.0300    360.0000    169     57        
67       2887    0.0300    360.0000    57      58        
68       3769    0.0300    360.0000    58      59        
69       7403    0.0300    360.0000    57      59        
70       3985    0.0300    360.0000    59      60        
71       6019    0.0300    360.0000    60      61        
72       4513    0.0300    360.0000    61      62        
73       4142    0.0300    360.0000    62      63        
74       3904    0.0300    360.0000    63      64        
75       4282    0.0300    360.0000    64      65        
76       4686    0.0300    360.0000    65      66        
77       7316    0.0300    360.0000    66      67        
78       3185    0.0300    360.0000    67      68        
79       3457    0.0300    360.0000    68      69        
80       5447    0.0300    360.0000    69      70        
81       3857    0.0270    360.0000    70      71        
82       2609    0.0270    360.0000    71      72        
83       5450    0.0300    160.0000    44      469       
84       3377    0.0270    360.0000    73      74        
85       3377    0.0270    360.0000    74      75        
86       5022    0.0270    360.0000    75      77        
88       4754    0.0270    720.0000    77      78        
89       4544    0.0270    720.0000    78      79        
90       3722    0.0270    720.0000    79      80        
91       4119    0.0270    720.0000    80      81        
92       6169    0.0270    720.0000    81      82        
94       4034    0.0250    720.0000    82      84        
95       3850    0.0250    720.0000    84      85        
96       3741    0.0250    720.0000    85      86        
97       3249    0.0200    720.0000    86      88        
101      3950    0.0200    720.0000    88      89        
102      3927    0.0200    720.0000    89      90        
104      3645    0.0200    720.0000    90      91        
105      2947    0.0200    720.0000    91      92        
106      3819    0.0200    720.0000    92      93        
107      4183    0.0250    720.0000    93      94        
108      7064    0.0250    720.0000    93      94        
111      4050    0.0250    720.0000    94      97        
114      3991    0.0250    720.0000    98      97        
115      3340    0.0250    720.0000    97      99        
116      3298    0.0250    720.0000    98      99        
117      8901    0.0250    720.0000    99      102       
118      12030   0.0250    720.0000    100     99        
119      12785   0.0250    720.0000    100     101       
120      5677    0.0250    720.0000    101     102       
121      4792    0.0250    720.0000    102     232       
122      6142    0.0250    720.0000    232     103       
123      7396    0.0250    720.0000    101     103       
124      7062    0.0250    160.0000    103     38        
125      4937    0.0300    360.0000    52      104       
126      8246    0.0300    360.0000    104     105       
127      5267    0.0300    360.0000    105     106       
128      8409    0.0300    360.0000    106     107       
129      5691    0.0300    360.0000    107     108       
130      7026    0.0300    360.0000    108     109       
131      5640    0.0300    360.0000    109     110       
132      5447    0.0300    360.0000    110     111       
133      6823    0.0300    360.0000    111     112       
134      7627    0.0300    360.0000    112     113       
135      4427    0.0330    360.0000    113     114       
136      2266    0.0330    360.0000    114     115       
137      3983    0.0330    360.0000    115     116       
138      7131    0.0330    360.0000    116     117       
139      2294    0.0330    360.0000    117     118       
140      6283    0.0330    360.0000    118     120       
141      3789    0.0330    360.0000    118     119       
142      5345    0.0330    360.0000    119     120       
143      3379    0.0330    360.0000    120     121       
144      2708    0.0330    360.0000    121     122       
145      2818    0.0330    360.0000    123     121       
146      3053    0.0330    360.0000    122     123       
147      3804    0.0330    360.0000    123     124       
148      4423    0.0330    360.0000    122     124       
149      4373    0.0330    360.0000    124     125       
150      4354    0.0330    360.0000    125     126       
151      4217    0.0330    360.0000    126     127       
152      3731    0.0330    360.0000    127     128       
153      3312    0.0330    360.0000    128     129       
154      3980    0.0330    360.0000    129     130       
155      2616    0.0450    360.0000    130     131       
156      2593    0.0450    360.0000    130     132       
157      2775    0.0450    360.0000    131     132       
158      2088    0.0450    360.0000    131     132       
159      4306    0.0450    360.0000    132     133       
160      6956    0.0450    360.0000    133     31        
